Sitename,Lat,Lon,distance_km,distance_mi
RVB,38.1581,-121.683,0,0
RYI,38.2143,-121.668,7.194824898,4.470647984
LIB,38.2404,-121.686,10.67291405,6.631828065
PRS,38.2558,-121.671,12.996207,8.075452488
BL5,38.2746,-121.665,15.21278592,9.452768019
STTD,38.3534,-121.643,24.20986109,15.04328016
LIS,38.4759,-121.589,38.74041146,24.07212751
I80,38.5747,-121.583,49.80209586,30.94552579
RD22,38.6775,-121.644,62.5950623,38.8946907
RCS,38.7932,-121.726,78.70788139,48.90671229
RMB,38.812,-121.774,83.57200751,51.92913409
