PhysicalDataID,Date,Station Code,150_ZoopStartMeter,150_ZoopEndMeter,50_ZoopStartMeter,50_ZoopEndMeter,FlowMeterSpeed,FieldComments
2,5/5/1999,STTD,,,,,,
3,5/3/1999,STTD,,,,,,
4,6/1/1999,STTD,,,,,,
5,2/17/1999,STTD,,,,,Regular,
6,2/24/1999,STTD,,,,,,
7,3/16/1999,STTD,123907,139578,,,Regular,STTDZ 004
8,3/18/1999,STTD,149775,158653,,,Regular,STTDZ 005
9,3/24/1999,STTD,160616,163274,,,Regular,STTDZ 006 The meter reading seems low off from comparison NI
10,3/25/1999,STTD,170376,179379,,,Regular,STTDZ 007
11,4/6/1999,STTD,366570,382257,,,Regular,STTDZ 010
12,4/8/1999,STTD,387745,400564,,,Regular,STTDZ 011
13,4/19/1999,STTD,,,,,,
14,4/22/1999,STTD,,,,,,
15,4/23/1999,STTD,,,,,,
16,4/29/1999,STTD,,,,,,
17,4/30/1999,STTD,,,,,,
18,5/7/1999,STTD,,,,,,
19,5/10/1999,STTD,,,,,,
20,5/12/1999,STTD,,,,,,
21,5/17/1999,STTD,,,,,,
22,5/21/1999,STTD,,,,,,
23,5/28/1999,STTD,,,,,,
24,6/7/1999,STTD,,,,,,
25,2/25/1999,STTD,,,,,,
26,3/2/1999,STTD,,,,,,
27,3/4/1999,STTD,65995,86336,,,Regular,STTDZ 001
28,3/9/1999,STTD,170556,190003,,,Regular,STTDZ 002 - Net may have been twisted
29,3/11/1999,STTD,105062,122258,,,Regular,STTDZ 003
30,3/31/1999,STTD,173473,184600,,,Regular,STTDZ 008 The meter reading seems low off from comparison NI
31,4/1/1999,STTD,336720,361994,,,Regular,STTDZ 009
32,4/14/1999,STTD,405980,427611,,,Regular,STTDZ 012
33,4/16/1999,STTD,,,,,,
34,2/16/1999,STTD,,,,,,
35,4/14/1999,SHR,400580,405961,,,Regular,SHRZ 012
36,2/17/1999,SHR,,,,,,
37,3/16/1999,SHR,122279,128907,,,Regular,SHRZ 004
38,3/18/1999,SHR,139582,149771,,,Regular,SHRZ 0005
39,3/24/1999,SHR,158650,160618,,,Regular,SHRZ 006 The meter reading seems low off from comparison NI
40,2/24/1999,SHR,,,,,,
41,2/25/1999,SHR,,,,,,
42,3/2/1999,SHR,,,,,,
43,3/4/1999,SHR,53377,65990,,,Regular,SHRZ 001
44,3/9/1999,SHR,160056,170551,,,Regular,SHRZ 002
45,3/11/1999,SHR,101596,105060,,,Regular,SHRZ 003 The meter reading seems low off from comparison NI
46,3/25/1999,SHR,163306,170374,,,Regular,SHRZ 007
47,3/31/1999,SHR,170412,173404,,,Regular,SHRZ 008 The meter reading seems low off from comparison NI
48,4/1/1999,SHR,330931,336729,,,Regular,SHRZ 009
49,4/6/1999,SHR,361975,366552,,,Regular,SHRZ 010
50,4/27/1999,SHR,475432,475439,,,Regular,SHRZ 013 only 7 turns… NI
51,5/12/1999,SHR,,,,,,
52,6/7/1999,SHR,,,,,,
53,2/16/1999,SHR,,,,,,
54,4/8/1999,SHR,382274,387712,,,Regular,SHRZ 011
56,2/10/2000,SHR,478222,484217,,,Regular,
57,2/10/2000,STTD,484213,513976,,,Regular,
58,2/25/2000,STTD,596026,622002,,,Regular,
59,2/16/2000,STTD,57950,59530,,,Regular,
60,3/8/2000,STTD,657153,689845,,,Regular,
61,3/15/2000,STTD,825502,845914,,,Regular,YZ00-006
62,3/21/2000,STTD,907936,933226,,,Regular,
63,2/15/2000,SHR,513889,543285,,,Regular,
64,2/29/2000,SHR,622014,634965,,,Regular,
65,2/29/2000,STTD,634979,648686,,,Regular,
66,3/8/2000,SHR,648701,657148,,,Regular,
67,3/16/2000,SHR,890606,898967,,,Regular,
68,3/20/2000,SHR,898950,907928,,,Regular,
69,6/5/2000,STTD,,,,,,
70,5/5/2000,STTD,,,,,,
71,1/30/2001,STTD,278387,287918,,,Regular,Flowmeter #:B16452
72,2/16/2001,STTD,292164,302674,,,Regular,Large amounts of woody debris due to small opening above surface
73,2/28/2001,STTD,302775,306527,,,Regular,Large quantities of material clogging net causing flow to stop passing through net.Shorter time.
74,6/11/2001,SHR,,,,,Regular,Flow too slow for meter ~ 0.8 m/sec
77,3/15/2001,STTD,309482,323891,,,Regular,
79,1/30/2001,SHR,287932,290525,,,Regular,
80,2/16/2001,SHR,290661,292007,,,Regular,
