"project","SAM_code","samp_id","station","date","time","net_size_um","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml","comments"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna spp",3,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Brachionus spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Cladocera nauplii",29,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Conochilus spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Copepod nauplii",14,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis spp",4,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Eurytemora spp nauplii",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Filinia spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Keratella spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Lecane spp",3,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Lepadella spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Monostyla spp",1,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Notholca spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Ostracod",38,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Platyias spp",1,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Pseudodiaptomus spp nauplii",2,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Rotifer UNID",13,7,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Siniocalanus spp nauplii",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Synchaeta spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
"YOLO",NA,"20221019_0842_SHR_ZOOP150","SHR",2022-10-19,08:42:00,150,TRUE,FALSE,TRUE,TRUE,TRUE,2,NA,"TEC","Olympus SZX10","100x",2023-07-20,1,NA,"MICROZOOPLANKTON & NAUPLII","Testudinella spp",0,0,35,1,NA,NA,NA,"Total Count: 876    Could not concentrate sample further due to detritus, added extra subsamples to reach ~1000 organisms"
