 ,SAM_code,samp_id,station,date,time,net_size_um,high_algae,high_detritus,high_silt,no_micro_tally,no_meso_tally,samp_num,tow,id_by,scope,mag,id_date,num_of_jars,num_of_vials,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml,vsed_ml,comments
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Asplanchna spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Bdelloid,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Brachionus spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Cephalodella spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Cladocera nauplii,27,10,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Conochilus spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,6,10,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Euchlanis spp,12,10,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Eurytemora spp nauplii,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Filinia spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Keratella spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Lecane spp,0,0,300,1,300,1,75,NA
NDFS,NA,20230808_0947_BL5_ZOOP150,BL5,8/8/2023,9:47:00,150,FALSE,TRUE,TRUE,TRUE,TRUE,9,NA,TEC,Olympus SZX10,100x,1/4/2024,1,NA,MICROZOOPLANKTON & NAUPLII,Lepadella spp,0,0,300,1,300,1,75,NA
